FID,OID,DID,VAL
79,320200,310000,412798
212,320800,321300,414772
263,321200,320900,421472
6,310000,320200,421490
1794,440800,440900,426406
71,320100,341100,427020
1948,441900,440600,433364
1015,360900,360100,434818
66,320100,340500,437962
1828,440900,440800,439456
1404,430100,430200,442288
871,360100,360900,443754
1424,430200,430100,445918
658,341300,320300,446526
105,320300,321300,461544
1636,440100,440700,469020
371,330500,320500,473318
292,330100,330700,476932
1774,440700,440100,485972
16,310000,330100,497660
396,330700,330100,498378
107,320300,341300,505712
269,321300,320300,510034
282,330100,310000,513564
149,320500,330500,517412
245,321100,320400,598082
1784,440700,442000,609044
238,321000,321200,611754
1979,442000,440700,615414
243,321100,320100,617456
122,320400,321100,628574
1647,440100,442000,630298
58,320100,321100,645120
264,321200,321000,647328
1495,430600,430100,647408
176,320600,320500,650372
2002,445100,440500,658352
1974,442000,440100,664820
1535,430900,430100,668724
137,320500,320600,671448
1438,430300,430100,676890
354,330400,320500,677540
1405,430100,430300,680112
1408,430100,430600,686528
1839,441200,440600,689382
9,310000,320600,698272
148,320500,330400,701146
19,310000,330400,704904
1742,440500,445100,707816
172,320600,310000,711518
1411,430100,430900,712432
352,330400,310000,719820
1752,440600,441200,736564
290,330100,330500,747228
1115,420100,421100,749232
1777,440700,440600,753958
1277,421100,420100,756218
1749,440600,440700,757938
372,330500,330100,779282
786,350500,350200,864972
747,350200,350500,868838
1232,420900,420100,872736
1113,420100,420900,872946
748,350200,350600,874190
802,350600,350200,903526
674,341500,340100,952622
1640,440100,441300,959910
487,340100,341500,969466
1922,441800,440100,972730
2012,445200,440500,984786
1852,441300,440100,988032
1645,440100,441800,989088
